SchoolID,School Name,Address,Latitude,Longitude
1,Anacostia High School,"1601 16th St SE, Washington, DC 20020",38.87009,-76.98308
2,Ballou High School,"3401 4th St SE, Washington, DC 20032",38.83852,-77.00136
3,Calvin Coolidge High School,"6315 5th St NW, Washington, DC 20011",38.967289,-77.019543
4,Cardozo Education Campus,"1200 Clifton St NW, Washington, DC 20009",38.92218,-77.028471
5,Dunbar High School,"101 N St NW, Washington, DC 20001",38.90763,-77.01269
6,Eastern High School,"1700 East Capitol St NE, Washington, DC 20002",38.89041,-76.979688
7,H.D. Woodson Senior High School,"540 55th St NE, Washington, DC 20019",38.896939,-76.922506
8,MacArthur Blvd High School,"4530 MacArthur Blvd NW, Washington, DC 20007",38.90777,-77.08617
9,Theodore Roosevelt High School,"4301 13th St NW, Washington, DC 20011",38.943127,-77.028551
10,Jackson-Reed High School,"3950 Chesapeake St NW, Washington, DC 20016",38.95016,-77.07778
